theme,size,A_symbols,B_symbols,top_outliers
Banking_NBFC_Core,13,"AXISBANK, CUB, FEDERALBNK, KARURVYSYA","IDFCFIRSTB, LTF, PNB, UJJIVANSFB","IDFCFIRSTB, UJJIVANSFB, PNB"
Auto_Mobility_Components,9,"FIEMIND, LUMAXTECH, SJS","AVL, CRAFTSMAN, MSUMI","MSUMI, AVL, CRAFTSMAN"
Industrial_Manufacturing_Exports,9,"APLAPOLLO, SENORES, SYRMA","AIAENG, GOODLUCK, MTARTECH","AIAENG, MTARTECH, GOODLUCK"
Consumer_Premium_Retail,8,"IXIGO, RADICO","CARTRADE, ETHOSLTD","ETHOSLTD, CARTRADE, TITAN"
Healthcare_Pharma_Diagnostics,8,"SAILIFE, TORNTPHARM","ACUTAAS, METROPOLIS","METROPOLIS, ACUTAAS, NAVINFLUOR"
Metals_Mining_Materials,8,"HINDALCO, TATASTEEL","GMDCLTD, HINDZINC","GMDCLTD, HINDZINC, VEDL"
Power_Energy_Logistics,8,"ADANIPORTS, WAAREEENER","GESHIP, POWERINDIA","GESHIP, POWERINDIA, DELHIVERY"
Alt_Finance_Insurance,7,"AADHARHFC, MANAPPURAM","ABCAPITAL, HDFCLIFE","ABCAPITAL, HDFCLIFE, STAR"
Telecom_IT_Digital,7,"BHARTIARTL, COFORGE","IDEA, PAYTM","IDEA, PAYTM, ETERNAL"
Market_Infrastructure_Wealth,6,"BSE, MCX","IIFL, MFSL","IIFL, MFSL, 360ONE"
