Symbol,mcap_cr
MBEL,536.44
KSHINTL,596.02
BRIGHOTEL,602.86
LAXMIDENTL,604.96
EBGNG,609.64
SPAL,644.68
BAJEL,670.5
EUROPRATIK,671.05
FLAIR,679.19
WINDLAS,679.64
FILATEX,705.15
SURAKSHA,710.22
STOVEKRAFT,722.26
EPACKPEB,724.56
KKCL,728.75
LAOPALA,734.03
NILKAMAL,734.5
STYL,736.23
PFS,737.78
HIKAL,738.58
ATLANTAELE,739.06
DIVGIITTS,740.72
SOTL,743.7
UNIECOM,745.81
DAMCAPITAL,749.0
SOMANYCERA,752.72
TATVA,754.96
STUDDS,756.99
WHEELS,776.8
SANATHAN,797.4
NITINSPIN,802.65
RAMCOSYS,811.44
LANDMARK,813.49
AUTOAXLES,823.56
YATRA,823.75
DREDGECORP,836.32
CEIGALL,844.13
GUFICBIO,846.08
HITECH,853.31
RPTECH,854.06
WENDT,856.99
MMFL,863.09
SANDHAR,870.66
ELLEN,874.64
CRIZAC,881.05
UNIMECH,905.01
AMRUTANJAN,905.36
SHK,907.1
SHRIRAMPPS,912.96
MAYURUNIQ,921.09
PSPPROJECT,930.08
CARRARO,931.04
ROUTE,943.59
SMSPHARMA,946.57
BANSALWIRE,947.07
JTEKTINDIA,949.88
UNIVCABLES,952.97
TRUALT,964.84
GOCOLORS,992.69
RANEHOLDIN,992.96
OPTIEMUS,993.71
