theme,symbol,med_rank,vol,corr,resid,obs,n_theme
Auto comp,CRAFTSMAN,38.0,23.093461379306238,0.048580569320331675,9.0,17,5
Auto comp,FIEMIND,28.0,13.416407864998739,0.9050291168956873,0.0,18,5
Auto comp,LUMAXTECH,28.0,14.88100952369981,0.880176460976157,0.0,18,5
Auto comp,MSUMI,69.0,26.187653768074437,-0.10937416428016321,33.5,18,5
Auto comp,SJS,15.0,13.070886448988771,0.2761424362623531,4.0,21,5
Metal mines,HINDALCO,29.0,19.69716718367716,0.8997565758533898,3.0,18,4
Metal mines,HINDCOPPER,52.0,31.91416891748494,0.7115924778095291,12.0,23,4
Metal mines,HINDZINC,29.0,11.732781565566885,-0.09580063389356894,10.75,14,4
Metal mines,VEDL,32.0,17.42805279488943,0.8871825109128161,12.5,17,4
NBFC,ABCAPITAL,36.0,26.75843054893498,0.7606573918251575,8.0,21,6
NBFC,BAJFINANCE,35.0,28.229220479653506,0.7048119624862554,12.0,27,6
NBFC,CHOLAFIN,35.0,20.852476801370972,0.7510701152180356,10.5,27,6
NBFC,LTF,23.0,32.549108197375304,0.8175503904146962,8.0,18,6
NBFC,PIRAMALFIN,43.0,11.874342087037917,,28.0,4,6
NBFC,SHRIRAMFIN,28.0,14.3703226421506,0.11240092304196717,3.5,18,6
New gen,CARTRADE,10.0,21.8600737827838,0.6523476302929047,8.5,27,4
New gen,DELHIVERY,71.0,33.52110378691266,0.04775074243545321,15.5,21,4
New gen,ETERNAL,16.0,12.63340906385403,0.2870978107149607,12.0,23,4
New gen,PAYTM,15.0,35.75054557508631,0.37498772741865305,8.5,27,4
Pvt Banks,AXISBANK,33.0,16.5307382207344,0.7597569071799368,9.25,14,6
Pvt Banks,CUB,22.0,13.69608580726294,0.6472568925220751,5.0,21,6
Pvt Banks,FEDERALBNK,19.0,12.325178887224158,0.644813660723118,9.0,17,6
Pvt Banks,IDFCFIRSTB,46.0,30.849345191842115,0.16042033972259717,18.25,18,6
Pvt Banks,KARURVYSYA,21.0,9.778035453211604,0.6138459441443023,6.0,21,6
Pvt Banks,UJJIVANSFB,40.0,34.63499338010489,0.4649966372349792,20.5,21,6
cdmo,ACUTAAS,60.0,180.4898474541258,0.9988562722365467,0.25,42,4
cdmo,LAURUSLABS,7.0,19.68942531888006,0.7209011826355014,3.5,21,4
cdmo,SAILIFE,19.5,8.788308995478026,,8.75,8,4
cdmo,SENORES,9.5,9.921567416492215,,1.0,8,4
